Codigo;Descri豫o;Embalagem;EAN;Estoque
59;LIPIDIC 650 ML;UN;;-3,00;
60;PROTEIC 650 ML;UN;;0,00;
61;INTESIVE NUTRITION 1000 ML;UN;;0,00;
62;PROTECTOR PLUS 650 ML;UN;;0,00;
63;VOLUME THERAPY 650 ML;UN;;0,00;
64;AMINO 250 ML;UN;;1,00;
65;QUERATINA TERMO ACTIVE 650 ML;UN;7898947343671;17,00;
66;SCRUB TERAPY ALEXANDRE HERCHOVIT 170 GR;UN;;0,00;
67;SHAMPOO DEEP CLEANIG ALEX.HERC.1000 ML;UN;;0,00;
68;SHAMPOO BIDIMENSIONAL ALEX.HERC.1000 ML;UN;;0,00;
69;SHAMPOO ANTI-RESIDUO ALEX.HERC.1000 ML;UN;;0,00;
70;LIPIDIC ALEX. HERC. 650 ML;UN;;0,00;
71;PROTEIC ALEX. HERC. 650 ML;UN;;0,00;
72;INTENSIVE NUTRITION ALEX.HERC.1000 ML;UN;;0,00;
73;PROTECTOR PLUS ALEX. HERC. 650 ML;UN;;0,00;
74;VOLUME THERAPY ALEX.HERC. 650 ML;UN;;0,00;
75;AMINO ALEX.HERC. 200 ML;UN;;0,00;
76;SHAMPOO BIDIMENSIONAL ABRALE 1000 ML;UN;;0,00;
77;LIPIDIC ABRALE 650 ML;UN;;0,00;
78;INTENSIVE NUTRITION ABRALE 1000 ML;UN;;0,00;
79;R.T. TRADICIONAL 300 GR;UN;;0,00;
80;R.T. BLOND 300 GR;UN;;0,00;
81;R.T.FORTE -300 GR;UN;;0,00;
82;R.T. EXTRA FORTE 300 GR;UN;;0,00;
83;R.T NEUTRALIZANTE 300 GR;UN;;0,00;
84;PRANCHA A VAPOR TRUSS;UN;;0,00;
85;COMPLEXO RECONSTRUTOR (3 AMP. 60ML CADA);UN;7898352513421;0,00;
86;SCRUB THERAPY MIRACLE 170 GR;UN;7898352519348;7,00;
87;SHAMPOO LIGHT CLEANSER MIRACLE 1000 ML;UN;;0,00;
88;SHAMPOO BIDIMENSIONAL MIRACLE 1000 ML;UN;7898352516996;15,00;
89;SHAMPOO CLARIFYING MIRACLE 1000 ML;UN;78983252516972;25,00;
90;LIPIDIC MIRACLE 650 ML;UN;7898947943893;5,00;
91;PROTEIC MIRACLE 650 ML;UN;78989479433879;8,00;
92;INTENSIVE NUTRITION MIRACLE 1000 ML;UN;7898352517009;8,00;
93;PROTECTOR PLUS MIRACLE 650 ML;UN;7898947943909;3,00;
94;VOLUME THERAPY MIRACLE 650 ML;UN;7898352517061;3,00;
95;AMINO MIRACLE 225 ML;UN;7898352517931;-22,00;
96;ATIVO PROTECTOR 650 ML;UN;;0,00;
97;GLAMOUR 1000 ML;UN;7898352518983;0,00;
98;TREND LISS 650 ML;UN;;0,00;
99;PO DESCOLORANTE BLANC 500 GR;UN;7898625790450;289,00;
100;AMPOLA H.COLOR CX COM 09 UNI;UN;7898625791044;14,00;
102;AMPOLA REPAIR C/ 4 UN.17 ML;UN;7898635791037;11,00;
103;MICRO ESFERA ESM. MIRACLE 45 ML;UN;;0,00;
104;CREME DEVELOPER 10 950 ML;UN;7898352510109;35,00;
105;CREME DEVELOPER 20  950 ML;UN;7898352510208;6,00;
106;CREME DEVELOPER 30  950 ML;UN;7898352510307;157,00;
107;CREME DEVELOPER 40 950 ML;UN;78983525104;-12,00;
108;COLORA플O 00S 60 GR;UN;7898352510840;0,00;
109;COLORA플O 0.1 60 GR;UN;7898352510871;29,00;
110;COLORA플O 0.2 60 GR;UN;;0,00;
111;COLORA플O 0.4 60 GR;UN;;0,00;
112;COLORA플O 0.6 60 GR;UN;;0,00;
113;COLORA플O 1.0  60 GR;UN;7898352519607;-22,00;
114;COLORA플O 3.0  60 GR;UN;7898352510314;20,00;
115;COLORA플O 4.0  60 GR;UN;7898352510321;-5,00;
116;COLORA플O 4.20  60GR;UN;7898352510703;0,00;
117;COLORA플O 4.56  60 GR;UN;7898352510543;18,00;
118;COLORA플O 5.0  60 GR;UN;7898352510338;376,00;
119;COLORA플O 5.20  60GR;UN;7898352510710;0,00;
120;COLORA플O 5.3  60GR;UN;7898352510451;47,00;
121;COLORA플O 5.47 60GR;UN;7898352510673;40,00;
122;COLORA플O 5.5  60GR;UN;789352510529;29,00;
123;COLORA플O 5.56 60GR;UN;7898352510550;0,00;
124;COLORA플O 5.62  60GR;UN;7898352510758;52,00;
125;COLORA플O 5.7  60GR;UN;7898352510611;69,00;
126;COLORA플O 55.62 60GR;UN;;0,00;
127;COLORA플O 6.0  60GR;UN;7898352510345;171,00;
128;COLORA플O 6.1  60GR;UN;7898352510390;-53,00;
